event,formula,a,b,a2,b2,g
TRACK_100,AU_track,30672,1682.5,,,
TRACK_100H,AU_track,24672,895.5,,,
TRACK_1000,AU_track,335842.3,1034.4,,,
TRACK_150,AU_track,40288.4,1330,,,
TRACK_1500,AU_track,557448,1181.5,,,
TRACK_200,AU_track,54720,1342,,,
TRACK_300,AU_track,90616.4,1307,,,
TRACK_3000,AU_track,1197450,1176,,,
TRACK_3000SC,AU_track,1161602.6,926.2,,,
TRACK_35,AU_track,11844.4,1684,,,
TRACK_4x100,AU_track,122328,1677.75,,,
TRACK_4x200,AU_track,218613.3,1340.6,,,
TRACK_4x400,AU_track,446803.85,1084.35,,,
TRACK_40,AU_track,13289,1592.5,,,
TRACK_400,AU_track,111720,1084.5,,,
TRACK_400H,AU_track,112752,925.7,,,
TRACK_50,AU_track,16234.1,1623.7,,,
TRACK_50H,AU_track,15999.8,1211,,,
TRACK_5000,AU_track,1786833.9,1145,,,
TRACK_60,AU_track,19268.7,1631.8,,,
TRACK_60H,AU_track,18477.9,1161,,,
TRACK_600,AU_track,175609.8,964.1,,,
TRACK_80H,AU_track,24672,895.5,,,
TRACK_800,AU_track,247200,975.5,,,
DISCUS_THROW,au_field,224.8,686.5,,,
WEIGHT_THROW,au_field,309.4,440,,,
TRIPLE_JUMP,au_field,750.3,1730.6,,,
HIGH_JUMP,au_field,2635.6,2501.5,3039.8,2981.5,1.4
HAMMER_THROW,au_field,183.5,415.7,,,
SHOT_PUT,au_field,429.5,768.3,,,
POLE_VAULT,au_field,1225.8,1500.2,,,
JAVELIN_THROW,au_field,197.5,482.5,,,
LONG_JUMP,au_field,1076.3,1729.4,,,
TRACK_SWEDISH,AU_track,261981.5,865,,,
