event,formula,a,b
TRACK_100,grubb_track,9.79,1
TRACK_200,grubb_track,19.32,1
TRACK_800,grubb_track,101.11,1
TRACK_1000,grubb_track,130.5,1
ROAD_100KM,grubb_track,21360,1
ROAD_100MILES,grubb_track,39850,1
ROAD_10KM,grubb_track,1603,1
ROAD_10MILES,grubb_track,2640,1
ROAD_12KM,grubb_track,1942,1
ROAD_150KM,grubb_track,36300,1
ROAD_15KM,grubb_track,2455,1
ROAD_200KM,grubb_track,52800,1
ROAD_20KM,grubb_track,3315,1
ROAD_25KM,grubb_track,4205,1
ROAD_30KM,grubb_track,5110,1
ROAD_4MILES,grubb_track,1014,1
ROAD_50KM,grubb_track,8970,1
ROAD_50MILES,grubb_track,16080,1
ROAD_5KM,grubb_track,779,1
ROAD_5MILES,grubb_track,1279,1
ROAD_6KM,grubb_track,942,1
ROAD_8KM,grubb_track,1272,1
ROAD_HALF_MARATHON,grubb_track,3503,1
ROAD_MARATHON,grubb_track,7377,1
TRACK_10000,grubb_track,1580,1
TRACK_110H,grubb_track,12.91,1
TRACK_1500,grubb_track,205.8,1
TRACK_1MILE,grubb_track,222.6,1
TRACK_2000,grubb_track,283.2,1
TRACK_2MILES,grubb_track,474.6,1
TRACK_300,grubb_track,30,1
TRACK_3000,grubb_track,440,1
TRACK_3000SC,grubb_track,473.63,1
TRACK_3MILES,grubb_track,730,1
TRACK_400,grubb_track,43.18,1
TRACK_4000,grubb_track,598,1
TRACK_400H,grubb_track,46.78,1
TRACK_4MILES,grubb_track,990,1
TRACK_50,grubb_track,5.54,1
TRACK_500,grubb_track,57.66,1
TRACK_5000,grubb_track,757,1
TRACK_50H,grubb_track,6.25,1
TRACK_55,grubb_track,5.97,1
TRACK_55H,grubb_track,6.76,1
TRACK_5MILES,grubb_track,1255,1
TRACK_60,grubb_track,6.39,1
TRACK_600,grubb_track,72.15,1
TRACK_6000,grubb_track,919,1
TRACK_60H,grubb_track,7.3,1
TRACK_8000,grubb_track,1247,1
WALK_10KM,grubb_track,2231,1
WALK_1500W,grubb_track,309,1
WALK_15KM,grubb_track,3424,1
WALK_20KM,grubb_track,4641,1
WALK_25KM,grubb_track,5931,1
WALK_30KM,grubb_track,7264,1
WALK_3KM,grubb_track,631.42,1
WALK_40KM,grubb_track,10038,1
WALK_50KM,grubb_track,12929,1
WALK_5KM,grubb_track,1077.59,1
WALK_8KM,grubb_track,1766,1
WALK_HALF_MARATHON,grubb_track,4919,1
WALK_MARATHON,grubb_track,10655,1
WALK_MILEW,grubb_track,332.37,1
DISCUS_THROW,grubb_field,74.08,1
HAMMER_THROW,grubb_field,86.74,1
HIGH_JUMP,grubb_field,2.45,1
JAVELIN_THROW,grubb_field,98.48,1
LONG_JUMP,grubb_field,8.95,1
POLE_VAULT,grubb_field,6.14,1
SHOT_PUT,grubb_field,23.12,1
TRIPLE_JUMP,grubb_field,18.29,1
WEIGHT_THROW,grubb_field,25.86,1
