event,formula,a,b
ROAD_100KM,grubb_track,23591,1
ROAD_100MILES,grubb_track,43500,1
ROAD_10KM,grubb_track,1820,1
ROAD_10MILES,grubb_track,2961,1
ROAD_12KM,grubb_track,2194,1
ROAD_150KM,grubb_track,39700,1
ROAD_15KM,grubb_track,2755,1
ROAD_200KM,grubb_track,57600,1
ROAD_20KM,grubb_track,3700,1
ROAD_25KM,grubb_track,4665,1
ROAD_30KM,grubb_track,5660,1
ROAD_4MILES,grubb_track,1152,1
ROAD_50KM,grubb_track,9820,1
ROAD_50MILES,grubb_track,17760,1
ROAD_5KM,grubb_track,886,1
ROAD_5MILES,grubb_track,1452,1
ROAD_6KM,grubb_track,1071,1
ROAD_8KM,grubb_track,1442,1
ROAD_HALF_MARATHON,grubb_track,3912,1
ROAD_MARATHON,grubb_track,8125,1
TRACK_100,grubb_track,10.49,1
TRACK_1000,grubb_track,146.5,1
TRACK_10000,grubb_track,1801.09,1
TRACK_100H,grubb_track,12.21,1
TRACK_1500,grubb_track,232.47,1
TRACK_1MILE,grubb_track,251.6,1
TRACK_200,grubb_track,21.34,1
TRACK_2000,grubb_track,321.5,1
TRACK_2MILES,grubb_track,541.5,1
TRACK_300,grubb_track,33,1
TRACK_3000,grubb_track,501.42,1
TRACK_3000SC,grubb_track,541.59,1
TRACK_3MILES,grubb_track,833,1
TRACK_400,grubb_track,47.6,1
TRACK_4000,grubb_track,683,1
TRACK_400H,grubb_track,52.34,1
TRACK_4MILES,grubb_track,1132,1
TRACK_50,grubb_track,5.96,1
TRACK_500,grubb_track,63.7,1
TRACK_5000,grubb_track,864.68,1
TRACK_50H,grubb_track,6.58,1
TRACK_55,grubb_track,6.45,1
TRACK_55H,grubb_track,7.12,1
TRACK_5MILES,grubb_track,1435,1
TRACK_60,grubb_track,6.92,1
TRACK_600,grubb_track,80,1
TRACK_6000,grubb_track,1051,1
TRACK_60H,grubb_track,7.69,1
TRACK_800,grubb_track,113.28,1
TRACK_8000,grubb_track,1425,1
WALK_10KM,grubb_track,2457,1
WALK_1500W,grubb_track,337,1
WALK_15KM,grubb_track,3761,1
WALK_20KM,grubb_track,5089,1
WALK_25KM,grubb_track,6577,1
WALK_30KM,grubb_track,8118,1
WALK_3KM,grubb_track,695,1
WALK_40KM,grubb_track,11334,1
WALK_50KM,grubb_track,14706,1
WALK_5KM,grubb_track,1187,1
WALK_8KM,grubb_track,1944,1
WALK_HALF_MARATHON,grubb_track,5411,1
WALK_MARATHON,grubb_track,12062,1
WALK_MILEW,grubb_track,362,1
DISCUS_THROW,grubb_field,76.8,1
HAMMER_THROW,grubb_field,77,1
HIGH_JUMP,grubb_field,2.09,1
JAVELIN_THROW,grubb_field,73,1
LONG_JUMP,grubb_field,7.52,1
POLE_VAULT,grubb_field,5.15,1
SHOT_PUT,grubb_field,22.63,1
TRIPLE_JUMP,grubb_field,15.5,1
WEIGHT_THROW,grubb_field,23.6,1
