event,formula,a,b,c
TRACK_100,iaaf_track,25.4347,18,1.81
TRACK_1000,iaaf_track,0.08713,305.5,1.85
TRACK_110H,iaaf_track,5.74352,28.5,1.92
TRACK_1500,iaaf_track,0.03768,480,1.85
TRACK_200,iaaf_track,5.8425,38,1.81
TRACK_400,iaaf_track,1.53775,82,1.81
TRACK_60,iaaf_track,58.015,11.5,1.81
TRACK_60H,iaaf_track,20.5173,15.5,1.92
DISCUS_THROW,iaaf_field,12.91,4,1.1
WEIGHT_THROW,iaaf_field,47.8338,1.5,1.05
HIGH_JUMP,iaaf_field,585.63492,0.75,1.42
HAMMER_THROW,iaaf_field,13.0449,7,1.05
SHOT_PUT,iaaf_field,51.39,1.5,1.05
POLE_VAULT,iaaf_field,140.18207,1,1.35
JAVELIN_THROW,iaaf_field,10.14,7,1.08
LONG_JUMP,iaaf_field,90.56762,2.2,1.4
