event,formula,a,b,c
TRACK_60,iaaf_track,46.0849,13,1.81
TRACK_100,iaaf_track,17.857,21,1.81
TRACK_200,iaaf_track,4.99087,42.5,1.81
TRACK_400,iaaf_track,1.34285,91.7,1.81
TRACK_800,iaaf_track,0.11193,254,1.88
TRACK_1000,iaaf_track,0.07068,337,1.88
TRACK_1500,iaaf_track,0.02883,535,1.88
TRACK_60H,iaaf_track,20.0479,17,1.835
TRACK_100H,iaaf_track,9.23076,26.7,1.835
LONG_JUMP,iaaf_jump,0.188807,210,1.41
HIGH_JUMP,iaaf_jump,1.84523,75,1.348
POLE_VAULT,iaaf_jump,0.44125,100,1.35
DISCUS_THROW,iaaf_throw,12.3311,3,1.1
JAVELIN_THROW,iaaf_throw,15.9803,3.8,1.04
HAMMER_THROW,iaaf_throw,17.5458,6,1.05
WEIGHT_THROW,iaaf_throw,52.1403,1.5,1.05
SHOT_PUT,iaaf_throw,56.0211,1.5,1.05
