event,formula,a,b,c
TRACK_50,hungarian_track,95.822353863,-9.1994010874,-0.3765978316
TRACK_50H,hungarian_track,34.2123772242,-12.3484992509,-0.2978589247
TRACK_55,hungarian_track,78.9227608846,-9.9991682963,-0.3262593216
TRACK_55H,hungarian_track,30.0853077082,-13.3476676416,-0.2329919571
TRACK_60,hungarian_track,68.6203220047,-10.6992800164,-0.3594275681
TRACK_60H,hungarian_track,23.9163242706,-14.5966339421,-0.1644943777
TRACK_200,hungarian_track,5.0432159856,-35.9910107213,0
TRACK_300,hungarian_track,1.8029166507,-57.9959412461,-0.0339878087
TRACK_400,hungarian_track,0.9810343085,-80.5943092492,0
TRACK_500,hungarian_track,0.5649640314,-105.9967162205,-0.0223133096
TRACK_600,hungarian_track,0.3899861153,-130.9961383961,-0.0107176039
TRACK_800,hungarian_track,0.1973925611,-183.9969956062,-0.016348786
TRACK_1000,hungarian_track,0.1138977865,-239.9960148998,-0.0046409292
TRACK_1500,hungarian_track,0.0419999885,-385.9950544882,-0.0003541283
TRACK_1MILE,hungarian_track,0.0369000074,-414.9952787475,-0.0011489453
TRACK_2000,hungarian_track,0.0226000035,-527.9948971024,0
TRACK_3000,hungarian_track,0.0083219192,-839.9970746667,-0.0027639444
TRACK_2MILES,hungarian_track,0.0072099692,-906.9958053163,-0.001209944
TRACK_5000,hungarian_track,0.0029000031,-1439.9944442896,0
TRACK_4x200,hungarian_track,0.3119844823,-143.9971416694,-0.0252237437
TRACK_4x400,hungarian_track,0.0489005767,-339.9937188583,0
HIGH_JUMP,hungarian_field,32.1457081634,11.5936889433,-5026.0808417004
LONG_JUMP,hungarian_field,1.931092873,48.3486190515,-4993.8077931235
TRIPLE_JUMP,hungarian_field,0.4603666024,98.8014630138,-5008.9686647032
POLE_VAULT,hungarian_field,3.0457199209,39.335860309,-4993.2138282251
SHOT_PUT,hungarian_field,0.0423461436,684.8281542324,-19915.7245727669
HEPTATHLON,hungarian_field,0.0000017511,53203.5391079802,-5002.8876894102
