event,formula,a,b,c
TRACK_100,hungarian_track,9.9274264508,-21.9933700028,0ƒ
TRACK_200,hungarian_track,2.2422237149,-45.4938200765,0
TRACK_300,hungarian_track,0.6999743364,-76.9959087143,-0.01399444
TRACK_400,hungarian_track,0.3350059758,-109.9942273774,0
TRACK_600,hungarian_track,0.1191983841,-183.9955892216,-0.0026515132
TRACK_800,hungarian_track,0.0687998934,-249.9950232947,-0.0000169472
TRACK_1000,hungarian_track,0.0381997085,-329.995813604,-0.0021547584
TRACK_1500,hungarian_track,0.0133999963,-539.9949703133,-0.0005396117
TRACK_1MILE,hungarian_track,0.0116499986,-579.9949693123,0
TRACK_2000,hungarian_track,0.0067660105,-749.9948524357,0
TRACK_3000,hungarian_track,0.0025389975,-1199.9953765729,-0.0002368852
TRACK_2MILES,hungarian_track,0.0021569983,-1296.2954038511,-0.0002368758
TRACK_5000,hungarian_track,0.0008079992,-2099.9956378883,-0.0001983631
TRACK_10000,hungarian_track,0.0001711705,-4500.3728183251,-0.1365493768
TRACK_100H,hungarian_track,3.9822963262,-29.9904801411,0
TRACK_400H,hungarian_track,0.2085649572,-129.9952469068,-0.0011574468
TRACK_2000SC,hungarian_track,0.0045000012,-879.9946744771,0
TRACK_3000SC,hungarian_track,0.0013229981,-1509.9954525199,-0.000026242
TRACK_4x100,hungarian_track,0.3895003606,-97.9948488911,0
TRACK_4x200,hungarian_track,0.0794985466,-211.9961734118,-0.0049477681
TRACK_4x400,hungarian_track,0.0156200769,-479.9939979174,0
ROAD_10MILES,hungarian_track,0.0000630001,-7437.4758774148,0
ROAD_10KM,hungarian_track,0.0001742155,-4499.3728557918,0
ROAD_15KM,hungarian_track,0.0000732017,-6904.4306434582,0
ROAD_20KM,hungarian_track,0.0000396007,-9356.4394963166,0
ROAD_25KM,hungarian_track,0.0000228009,-12143.3511225215,0
ROAD_30KM,hungarian_track,0.0000142603,-15122.3881022298,0
ROAD_100KM,hungarian_track,0.000000874,-61199.5508531756,-0.0005792629
ROAD_HALF_MARATHON,hungarian_track,0.0000352993,-9899.5699844392,-0.0079093982
ROAD_MARATHON,hungarian_track,0.0000059501,-22799.3431644815,0
WALK_3KM,hungarian_track,0.0008815855,-1870.3738882049,0
WALK_5KM,hungarian_track,0.0003247214,-3139.1595926748,0
WALK_10KM,hungarian_track,0.0000779012,-6436.4586699003,0
WALK_20KM,hungarian_track,0.0000186999,-13199.5111582929,0
WALK_30KM,hungarian_track,0.0000068999,-21544.6466392712,-0.0051495959
WALK_50KM,hungarian_track,0.00000196,-39951.5338662223,-0.0002048037
HIGH_JUMP,hungarian_field,39.5579087445,10.5082093421,-4969.5880642855
LONG_JUMP,hungarian_field,1.9581140326,49.4597044183,-5024.0505434215
TRIPLE_JUMP,hungarian_field,0.4296645887,105.1320544518,-4980.6423815636
DISCUS_THROW,hungarian_field,0.0040284238,2226.8877644471,-19996.2817097077
HAMMER_THROW,hungarian_field,0.003096724,2539.8077202523,-19998.4991354651
JAVELIN_THROW,hungarian_field,0.0040722745,2215.2996127575,-20003.7430818798
POLE_VAULT,hungarian_field,3.9325797501,35.0265857026,-5029.8531935972
SHOT_PUT,hungarian_field,0.0462143876,657.3172794694,-19993.5978247992
HEPTATHLON,hungarian_field,0.0000015806,56004.0768596358,-5001.3485654597
